/T,/FT,/V,/Rect
"1:case:basic-adittion:1,1",/Btn,/Off,"[89.867, 581.13, 102.583, 593.846]"
"1:case:basic-adittion:1,2",/Btn,/Yes,"[111.549, 581.13, 124.265, 593.846]"
"1:case:basic-adittion:1,3",/Btn,/Off,"[133.232, 581.13, 145.948, 593.846]"
"1:case:basic-adittion:1,4",/Btn,/Off,"[154.914, 581.13, 167.631, 593.846]"
"1:case:basic-adittion:1,5",/Btn,/Off,"[176.597, 581.13, 189.313, 593.846]"
"1:case:basic-adittion:1,6",/Btn,/Off,"[198.28, 581.13, 210.996, 593.846]"
"1:case:basic-adittion:1,7",/Btn,/Off,"[219.962, 581.13, 232.678, 593.846]"
"1:case:basic-adittion:1,8",/Btn,/Off,"[241.645, 581.13, 254.361, 593.846]"
"1:case:basic-adittion:1,9",/Btn,/Off,"[263.327, 581.13, 276.044, 593.846]"
"1:case:basic-adittion:1,10",/Btn,/Off,"[285.01, 581.13, 297.726, 593.846]"
"1:case:basic-adittion:1,11",/Btn,/Yes,"[89.867, 564.885, 102.583, 577.602]"
"1:case:basic-adittion:1,12",/Btn,/Off,"[111.549, 564.885, 124.265, 577.602]"
"1:case:basic-adittion:1,13",/Btn,/Off,"[133.232, 564.885, 145.948, 577.602]"
"1:case:basic-adittion:1,14",/Btn,/Off,"[154.914, 564.885, 167.631, 577.602]"
"1:case:basic-adittion:1,15",/Btn,/Off,"[176.597, 564.885, 189.313, 577.602]"
"1:case:basic-adittion:1,16",/Btn,/Off,"[198.28, 564.885, 210.996, 577.602]"
"1:case:basic-adittion:1,17",/Btn,/Off,"[219.962, 564.885, 232.678, 577.602]"
"1:case:basic-adittion:1,18",/Btn,/Off,"[241.645, 564.885, 254.361, 577.602]"
"1:case:basic-adittion:1,19",/Btn,/Off,"[263.327, 564.885, 276.044, 577.602]"
"1:case:basic-adittion:1,20",/Btn,/Off,"[285.01, 564.885, 297.726, 577.602]"
"1:case:derivativesin:2,4",/Btn,/Off,"[93.245, 498.248, 105.961, 510.965]"
"1:case:derivativesin:2,2",/Btn,/Off,"[93.245, 482.308, 105.961, 495.024]"
"1:case:derivativesin:2,3",/Btn,/Off,"[93.245, 466.368, 105.961, 479.084]"
"1:case:derivativesin:2,1",/Btn,/Yes,"[93.245, 450.428, 105.961, 463.144]"
